瑴	瑴玉裁成却附离
集	集云峰下四藤根 集英殿下春来早 集贤殿里图书满 集英殿上天香散 集云法令不徒施 集英深殿听胪传 集云峰高日杲杲 集重阳入帝宫兮 集无韩子潮州表 集仙院床三题石
雄	雄豪复遣五陵知 雄关漫道真如铁 雄飞雌从绕林间 雄心尽向蛾眉老 雄鸡一声天下白 雄楼岌嶪镇吴楚 雄姿逸态何崷崒 雄豪猛焰烈烧空 雄里藏雌是圣胎
雁	雁鹜如云休报事 雁来时候燕空梁 雁来不寄小银钩 雁声远向萧关去 雁怯重云不肯啼 雁行中断哀筝切 雁来应有吾乡信 雁过故人无信息 雁阵横空送早寒 雁飞高兮邈难寻
雋	雋咏坡仙三和馀
雏	雏莺宁有平生旧 雏莺新啭上林声 雏食得虫应自喜 雏孙殊未辨龙猪 雏莺小凤交飞说 雏莺初转斗尖新 雏莺弄舌春寒薄 雏莺叶底学宫商 雏莺学语春犹浅 雏莺故故啼檐角
雊	雊雉朝飞垄麦齐 雊鹆难为凤凰舞
雎	雎阳巡远双厉呼 雎鸠意度诚幽闲 雎鸠留下长生海
雍	雍门感慨徒为尔 雍雍雁落蒹葭浦 雍雍新雁咽寒声 雍容诗礼冠时髦 雍容南亩三推了 雍容草罢明堂诏 雍门解遣孟尝泣 雍容已餍天庖赐 雍熙民泰俱闤阓 雍容。临歧祖帐
雉	雉子班之奏曲成 雉扇双分识圣颜 雉兔年年不掩群 雉离于罿[3] 雉娇疑待更求媒 雉惊弓满劲箭加 雉离于罦[2] 雉子班奏急管弦 雉扇初开散御香 雉卢那复较疏亲
雌	雌沉水底雄上天 雌雄各自应律吕 雌雄上山不相逐 雌雄双飞观者恼 雌乌下巢去哀哀 雌蝶雄蜂天不管 雌了梅花俗了人 雌凤孤飞女龙寡 雌龙怨吟寒水光
雒	雒阳牡丹面径尺 雒阳八陵那忍说 雒生懊恼愠蓬飘 雒阳山色旧相亲 雒阳城见梅迎雪 雒宅相逢二纪心 雒水东流山四绕 雒坛爟火夜升烟 雒阳春梦忆波涛
雕	雕零客路新霜鬓 雕盘慵整宝香残 雕弓声急马如飞 雕玉阑干深院静 雕舆绣幰归新庙 雕虫存稿不求传 雕鞍好为莺花住 雕花铺锦半离披
雚	雚皇之勇骇万人
雠	雠家妄作武侯评 雠家白官先请肉 雠书发迹官虽屈 雠较芸编上群玉 雠书千卷杂朱黄 雠书竞印诸家集 雠书不必天禄阁
雝	雝雝仁气才鼓荡 雝雝宗祀仪将蒇 雝雝[3]鸣雁 雝雝鸾凤答空歌
雙	雙红共蒂初含笑 雙派飞来一镜寒 雙雙暗结秋霜实
風	風生銅柱百蠻驚
颭	颭颭荷盘露欲倾 颭风新样称娉婷 颭颭画船来北港
颰	颰排阊阖入紫宫
颺	颺下山藤设意深 颺下不须频顾恋 颺稻得风尤省力 颺下拄颐眠一觉
颸	颸颸忽见青鸾尾 颸颸凉吹度冰壶
颿	颿回鼓转东城暮
飋	飋飋波声入寺门
靸	靸著芒鞋不杖藜 靸鞋抛向海东边
靳	靳步买薪江墅寒 靳尚终贻楚国忧 靳取清光照归路
靴	靴衫束带两分行 靴声入贺趋正衙 靴霜炉雪知谁贤 靴没何须慕大官 靴城匝地市烟浮 靴纹才起不敢前 靴纹猎猎日流辉 靴板随人元自漫 靴笏趋陪西府拜 靴笏缚君难放浪
靼	靼衫闪色织云罗 靼使来朝乞讲和
靺	靺鞨分排兽面文
鞍	鞍马仆从塞闾里 鞍马东西鼓次休 鞍挂雉兔肩分麚 鞍马新年几日留 鞍马稳快衣衫轻 鞍马固先均臭味 鞍马归兮佳人散 鞍马和花总是尘 鞍马东西鼓吹休 鞍马丛中玉雪身
鞑	鞑兵犹未回燕鸭 鞑尘同污鹿门翁 鞑人人关平如席 鞑岂岂应强兀术 鞑人求通反其使
鞋	鞋袜破尽皮肉碎 鞋袜寻芳杏酪香 鞋儿试著无人看 鞋袜衣衫多补丁 鞋样船儿帽样庐
鞏	鞏烟邙树怅登临
鞓	鞓红未数青州种 鞓红相映似相知 鞓红魏紫能相访 鞓红鹤翎岂不美 鞓红干色无光霁 鞓红似向舞腰横 鞓红照坐香生肤
鞙	鞙璲如何趁佩霞
鞞	鞞鼓喧喧对古城 鞞鼓暗惊林叶落 鞞鼓乱挝裂岩谷
鞬	鞬櫜文陈甘三舍
鞠	鞠之育之不羞耻 鞠衣嘉色宛飘飘 鞠躬不敢骞其肱 鞠草园扉无滞讼 鞠育当知父母恩 鞠躬尽瘁固常事 鞠躬底事入公门 鞠躬解作华人语 鞠躬金殿三呼起 鞠育教诲诚在我
鞚	鞚飞尘起望不见 鞚飞转旋疾於鹰
鞭	鞭个马儿归去也 鞭入夹城箫鼓动 鞭笞榜掠惨不止 鞭罢泥牛无好春 鞭挞黎庶令人悲 鞭役众鬼宁不噫 鞭影未摇归路活 鞭后从他素发兼 鞭影不摇鞍小据 鞭凤骖鸾自斗杓
鞮	鞮箙提巡绕禁銮 鞮唱羌歌满中国
鞯	鞯衔如在赤墀立 鞯车行看虎符催
鞦	鞦韆对起花阴乱 鞦千闲垂愁稚子
鞲	鞲上锋棱十二翮 鞲鹰秋健诸酋帐 鞲鹰晓猎中山兔 鞲上饥鹰待一呼
鞶	鞶囊厉带最光华 鞶囊斜挂锦襜褕
鞾	鞾纹纸帐稻畦衲 鞾尖蹴城城未颓
鞿	鞿马铃骡傍日星
韁	韁锁虚名应只尔 韁锁空名堪自笑
骩	骩骳终惭走笔成
骫	骫骳又作卑官图
骰	骰子逡巡裹手拈 骰盆思共彩呼卢 骰子蒙恩亦赐绯 骰子巡抛裹手拈
骷	骷髅成群血涌涛 骷髅仰面望群星 骷髅元不会东西 骷髅被牧童打破 骷髅遍地积如山
骼	骼骴犹来丘垄积
骸	骸骨无人坎坟域 骸垢有苍虏起粟 骸骨终蒙赐老臣
骾	骾直我乃肺肝呕
髀	髀肉仍于马上消 髀肉未消仪舌在 髀肉渐生衣带缓 髀肉生来壮士悲 髀肉未能锁犊鼻 髀肉丰腴鬓发疏 髀肉消残宠未惊 髀肉何堪豢此身 髀肉空消万里驰 髀销衣缓风波苦
髁	髁髁梢头寂寂春
髋	髋髀安能抗斧斤 髋髀何能学奏刀
髓	髓脑涂地尤苍天
髑	髑髅几度皮消殒 髑髅正使非不乐 髑髅梦老披蒙节 髑髅眉底自照眼 髑髅著地几人知 髑髅前有本来灵 髑髅识尽喜何立 髑髅皆是长城卒
鬼	鬼物守护烦撝呵 鬼骇神惊一黍光 鬼章夜缚下洮城 鬼物图画填青红 鬼神情状苦无端 鬼哭神号金鼎结 鬼面鸦形仰太仓 鬼精魂罢休拈弄 鬼惊神骇惧勾追 鬼山正抱西江水
魂	魂梦不离金屈戍 魂断黄梁一梦中 魂断江南烟水国 魂梦空绕五云飞 魂魄不曾来入梦 魂清疑向斗边来 魂返今无异域香 魂梦还随绿水流 魂魄毅兮为鬼雄 魂魄欲归迷去所
魁	魁形下方天顶亚 魁峰兰若倚青霄 魁枕杓携万尺高 魁梧奇伟值文房 魁星又转作文星 魁占群芳差易耳 魁然围腹贮文史 魁望西来职秘丘 魁笑先生尚可痴 魁柄推移偶属渠
魃	魃妖谁敢扇余殃 魃虐萧骚霈泽医 魃燄爇天草木烦 魃张鹰犬无遗力
魇	魇梦啮魂黄瘴中
魈	魈魅如窥万竹丛
魍	魍魉惊避魑魅逃 魍魉窥人猛虎啸 魍魉邪神俱殄灭 魍魉避人还入山 魍魉狐狸何代无 魍魉凭何通百灵
魏	魏王不救平原君 魏紫姚黄扫地空 魏紫姚黄欲占春 魏徵嘻笑封德彝 魏家品是君王后 魏紫朝来将进酒 魏官牵车指千里 魏紫姚黄夸异色 魏公垂泪嫁文姬
魑	魑魅骄人奈尔何 魑魅胆寒石自裂 魑魅今朝不喜人 魑魅入林逢不若 魑魅魍魉惊本身 魑魅为邻资正骄 魑魅昼出矜山林 魑魅深潜翳林麓 魑魅魍魉徒为耳 魑魅於今合改颜
魔	魔王眷属成群队 魔王军众数甚多 魔鬼自然生怕怖 魔强法弱多怨害 魔语还兼佛语收 魔佛二边俱坐却 魔军尽总证菩提 魔力渐高道力微 魔境常为定力资
韭	韭畦时一摘烟苗 韭菜花开心一枝 韭叶金黄雪未干 韭溪血化幽泉碧 韭芽戴土拳如蕨 韭齑麦饭日加餐 韭和春雨笋和糟 韭苗水饼姑置之 韭葱蒜薤青遮陇 韭芽苣甲初出土
面	面旋回风带雪流 面对沈香山刻寿 面壁九年看二祖 面面虚堂水照空 面旋落英飞玉蕊 面前不破案山碍 面旋落花风荡漾 面骨峥嵘鬓欲疏 面上夸功雕作字
靥	靥朱眉翠喜清秋 靥心昼暖白玉脐
靧	靧面桃花有意开
首	首身离兮心不惩 首座出院未为过 首鼠何曾忌秃翁 首阳先生休采薇 首出万国之仪刑 首夏清和未暑天 首首清诗得自编 首录先朝社稷臣 首送金乌上碧空 首夏一番罹重病
馗	馗乎馗乎奈尔何
馘	馘浮二竖完膏盲 馘囚乡晨解其缚 馘邪役鬼篆飞丹 馘长蛟兮缚雄虎 馘项枭英盖狐鼠
韎	韎韐班庭远意孚 韎韐亲调白玉弓
韔	韔弓箙矢用则张
韛	韛鹰走犬登平冈
韡	韡鞾棣开无并萼 韡韡芸黄殿后花
韝	韝上风生看一举 韝上苍鹰卸绦縼 韝上新鹰正待呼
香	香雾氤氲结彩山 香生雾縠见纤柔 香蛾有恨东南远 香在衣裳妆在臂 香金留下仿花人 香喷瑞兽金三尺 香稻啄馀鹦鹉粒 香灯半卷流苏帐 香雾菲微笼薄晓 香味已惊樱实淡
馥	馥郁秋风不易陈 馥馥袭人和气生 馥膏拟炷后山香 馥郁田家橘柚丛 馥郁国香难可拟 馥郁非烟拥圣颜 馥剩宁须爱日敷 馥馥新香满座来 馥郁金炉沉水烟 馥馥麝烟红吐暖
馨	馨香秀林枬檀枝 馨香满口又全真 馨香还解满尊罍 馨香遍界无人顾 馨香惟解掩兰荪 馨香不必在芳丛 馨香还解满罇罍 馨香须侍百层台 馨香颜色常依旧 馨香逼界古今闻
頍	頍头直上马犹行
頖	頖池水暖芹正香 頖宫德厚仍信矼 頖水人稀夜漏沉 頖宫夫子日扃门 頖宫轮奂一鲜明
頠	頠纹浑欲下青空
頫	頫聘交驰淮水浊 頫首甘为州县吏 頫江山水簷楹外
頩	頩姿冷艳明沙水 頩然相顾各分散
頮	頮面沃心谁似吾
頴	頴叔资深俱已矣
頳	頳颜滴滴匀猩红 頳鲤骈头薦俎丰 頳尾宁数河之鲂 頳颊深凭瓮里春 頳汗纳纳愁夫肩 頳肩携担又催程 頳尾时翻素荇香 頳卵鳞皴雄俎豆
頺	頺龄晚岁凄凉里
顉	顉颐折额秦相国
顒	顒顒德望重朝廷
顕	顕父百壶连帐出
顗	顗翁止观略相当
顯	顯亲为重化含生
音	音相和兮悲且清 音声上下惧鹰隼 音书纵有争如见 音书杜绝白狼西 音书人事本萧条 音声嘈嘈满太虚 音声顷刻逐千变 音尘断绝阻河关 音声和雅鸣朝夕 音信不通雁飞绝
韵	韵高全似玉楼人 韵绝姿高直下视 韵士不随今世态 韵处终输廋岭君 韵白娇红消瘦尽 韵响寒空明月里 韵比高人更少双 韵高调古自难酬 韵开香靥笑吟吟 韵语初疑掷夜光
韶	韶华不减洞中春 韶华已入东君手 韶沪宫商角徵通 韶华不为少年留 韶光半在东堂手 韶阳乱棒打不杀 韶华休笑本无根 韶华满意与欢缘
髠	髠钳仍免作官奴 髠缁何事效浮图 髠首向来输白粲 髠腹虽大盛不得 髠者此时今守积
髡	髡首骈拇炯两瞳 髡胡暗识宝气尽 髡钳之人何以留
髧	髧髦驰逐少年场 髧髦垂鬟娇未羞 髧髦承学绍兴前 髧髦昔似晋诸谢 髧彼两髦呼作友 髧如丫角垂两耳
髦	髦髦童儿亦□□ 髦蛮难到曲屏边 髦俊闻风一时起
髤	髤髵奋鬣时蹲踏
髣	髣象荷枯沙瘦时 髣发蜀镇俱迢嶢 髣髴旧时风度不 髣髴缗钱二三千 髣髴有象形质圆 髣髴曾游今几劫 髣髴三生常往还 髣髣髴髴若三星 髣髴冠剑跻凌烟 髣髴未得此理真
髯	髯朱宁复与之俱 髯龙鳞甲动云雨 髯龙头角暂皤泥 髯胡少年能走马 髯郎风度幕中莲 髯尹超然定逸群 髯翁笑领彩衣郎 髯须主簿方用事 髯龙夭矫欲飞去 髯簿卑凡岂得书
髫	髫龀饭牛今已老 髫年误解朝阳诗 髫年惜堕晋贤风 髫龀以来今五帙 髫年十五便从军 髫齓已能庄语笑 髫龀相期弄糟粕 髫年崇奉迄今日 髫年释褐随班行 髫龀分携几见春
髴	髴郁天香羽袖沾
髻	髻鬟人小串珠玑 髻钗初上朝云卷 髻花敧侧醉巾偏 髻鬟狼籍黛眉长 髻云谩亸残花淡 髻鬟春雾翠微重 髻子偎人娇不整 髻子伤春慵更梳 髻云须滑亸鸾钗
髹	髹厨四匝香防蠹 髹壁正防童稚污 髹柄但夸千缕骨 髹其肉皮通髀臀 髹车转急风如噎 髹奁别贮古杂迹
髭	髭须雪白向明州 髭须早白亦无儿 髭须浑白已经岁 髭根尽白孤云并 髭鬓白于姜子牙 髭须白尽无添处 髭须强染三分折 髭须那得长长黑 髭须虽白体轻健 髭断肩寒带苦吟
鬇	鬇鬡怒气须如戟
髽	髽麻戴绖鹅雁鸣
髼	髼忪两鬓欲成丝 髼头奴子无拘束 髼忪有发重覆顶
鬀	鬀眉求似狄梁公
鬅	鬅鬙白发炤锦袍 鬅鬙暗树类奇鬼 鬅鬙灯火照柴扉 鬅鬙兽炭奇形模 鬅鬙那复梳千下 鬅鬙叠嶂敛烟霾 鬅松两鬓雾半垂
鬈	鬈发胡儿眼晴绿
鬃	鬃白似披梁苑雪 鬃颓毛落双膊高 鬃头一滴落人间 鬃帽偏欹横两眉 鬃鬣萧梢气雄健 鬃毛出跣风萧洒 鬃鬣萧萧绿云节 鬃发星星不胜镊
鬋	鬋理茅茨修竹茂
鬓	鬓华虽改心无改 鬓乱钗横浑不醒 鬓丝几缕茶烟里 鬓毛只恁青青地 鬓雪人间膺上寿 鬓亸欲迎眉际月 鬓云欲度香腮雪
鬐	鬐鬣坚顽侔铁角 鬐鬣不摇犹眼红 鬐插铁牙如雪山 鬐鳞聊舞小亭阴 鬐鬛局促俯其首 鬐鬣刺天鳞耀绮 鬐鬣怒而刺天兮 鬐鬣几年伤在藻
鬒	鬒发未饶青箬笠 鬒毛秃尽欲归僧 鬒[2]发如云 鬒发尽白雪垂肩 鬒发如云眼波溜 鬒眉队里已无多 鬒髻一一红芙蕖 鬒发偏宜打练椎
鬘	鬘天一望碧无情 鬘云结市失龙湫
鬖	鬖髿振袂玉妃舞 鬖鬖绿发双方瞳 鬖鬖白发明鬓髭
鬟	鬟黛葱葱雨初沐 鬟儿只道＊春睡 鬟鸦双叠岭云低 鬟髻飘零有谁惜 鬟梳闹扫学宫妆
鬛	鬛叚萧萧绿云茸
鬣	鬣封春露湿苍苔 鬣村故址今仍在 鬣卷云雨深重重
鬯	鬯卣将锡定于周
鬬	鬬红鬬绿态千万
鬭	鬭着交锋速便赢 鬭胜叫鸣闻四壁 鬭到秋深赢满场 鬭草人归午漏徐 鬭者之时败者多 鬭相凶顽必抢前 鬭到深秋必定输 鬭风车马香尘里 鬭时绝胜岂寻常
高	高寻白帝问真源 高城望断尘如雾 高柳数行临古道 高楼影转银蟾匝 高卧石龙呼不起 高情已逐晓云空 高者挂罥长林梢 高余冠之岌岌兮 高侵云汉垂肩久 高田二麦接山青
鬳	鬳翁晨遣诗筒至 鬳翁同洒遗弓泪
鬴	鬴实剖争真识变
鬻	鬻海之民何苦门 鬻马余犹堪买犊 鬻拳强谏惧威刑 鬻妻弃子人不售 鬻车终不困相如 鬻余岂不得一丘 鬻技百金或封地 鬻子运筹年尚少 鬻药买田非立异 鬻文卖赋今能几
馺	馺娑蜚廉次第开 馺娑。已传丹诏
馹	馹传轺车得按行 馹骑尘飞受暑风 馹骑如星堕峡来
馽	馽空云蒂补处空
駟	駟马高车又出关
駈	駈駈席不蹔安时 駈駈烦恼不解嗔
駮	駮云飞去见晴岚
騃	騃紫痴红略万枝 騃孺子为祸之梯 騃犊跳风仍却顾 騃女痴儿总爱梅 騃女痴儿那念此 騃女痴儿竞乞灵
騂	騂弓在臂剑横腰
駸	駸駸知省洞宾贤 駸駸落景挂桑榆 駸駸揆路却回头 駸駸流景岁云暮 駸駸和气随千骑 駸駸五十尚朱颜 駸駸百年露电速 駸駸羽骑历城池 駸駸又见一年徂 駸駸归骑不须催
駴	駴浪飞来白鹭群
駷	駷跃惊矫浮云翻
騑	騑騑牡驾暂临边 騑騑四牡不可缓 騑騑蹴踏长楸道 騑首朝惊水怪频
騧	騧[6]骊是骖
騎	騎鲸吸海枯桑田
騋	騋[1]牝三千 騋牝三千归汉闲 騋牝三千归圉师 騋牝三千表塞渊
騄	騄駬籋云天步远 騄耳何年别渥洼 騄駬驽骀竟谁顾 騄耳新驹骏得名 騄骥丧来空蹇蹶
騊	騊駼车府无监牧
騞	騞然投刃用方安 騞然聊试发硎刀
騣	騣马翩翩新虎符
騩	騩云芣木澹扶疏
騕	騕褭长饥不在闲 騕褭神驹行地急 騕芜叶暗江云暖 騕褭空鸣白玉珂 騕褭丝鞭归兴逸 騕褭龙媒去未还 騕褭似龙随日换 騕褭精神动若飞 騕褭晨嘶苜蓿烟
騶	騶虞仁因耻在坰
驄	驄马来游人不避 驄马行行人且避
騼	騼歌声断玉人遥
驐	驐鸡肥脆聊供膳
驌	驌驦在御臣的卢
驩	驩情落寞酒量减 驩声如雷动天地 驩传有客闯然来 驩然更有关心处 驩欣复自学群儿
黄	黄河远上白云间 黄鹤一去不复返 黄菊篱边无怅望 黄昏帘幕无人卷 黄蜂金蕊欲披莲 黄鹤沙边亦少留 黄童白叟聚睢盱 黄埃散漫风萧索 黄庐苦竹绕宅生
黉	黉序舂容领佩衿 黉舍坐听三日雨 黉宇祠堂塑像新 黉舍蜚声四十春 黉舍煌煌列笾俎 黉舍临溪静最安 黉堂咳唾遗明珠
黈	黈纩不塞为尔听
黌	黌堂归去葛衣轻 黌校于今绛帐开
鹺	鹺发牢盆浑弃卤
鹿	鹿走未知真局面 鹿门乱走团栾久 鹿瑞堂前冬日暖 鹿裘孤坐千峰雪 鹿胎冠子粲歌珠 鹿场僧寺鲜莓开 鹿门归路不曾关 鹿黎花小隘真珠 鹿门月照开烟树
麈	麈尾谈清绝口钱 麈柄欲拈谁共语 麈几聊存种树书 麈尾手中毛已脱 麈尾生风共燕閒 麈尾呼风袢暑净 麈尘尾虽长君不 麈留鼠迹犹嗔拂 麈尾之辩舌翻澜 麈尾角巾应旷望
麋	麋鹿台边沼已寒 麋鹿来往外时获 麋鹿肆游歌舞地 麋鹿同群方可信 麋鹿已无台上游 麋鹿同群岁月长 麋鹿逢人虽未惯 麋鹿心知自有群 麋鹿跳梁忧触拨
麏	麏◇禽鸟莫惊顾
麓	麓川小丑据巢穴 麓华联蕾破春红 麓山南面橘洲西
麒	麒麟阁上丹青笔 麒麟万里何抅束 麒麟阁画为谁留 麒麟背上石文裂 麒麟意合乾坤地 麒麟锦带佩吴钩 麒麟今又来天上 麒麟只有一只角 麒麟为脯玉为浆 麒麟来作人间瑞
麕	麕鹑日暮随登堂 麕羊瓮茧便青春 麕至时逢伐木樵
麝	麝发雕炉小袖笼 麝波兰艳涌温汤 麝熏微度绣芙蓉 麝熏微度绣芙容 麝囊初破酒初醺 麝煤闲杀春风手 麝煤沈馥动孤根 麝煤熏腻纹丝缕 麝薰微度绣芙蓉
麞	麞头安得比麋茸 麞猿满壁皆逼真 麞头鼠目休求官 麞猿未省京华见 麞牙鸭脚色相鲜
麟	麟脯灵瓜那更有 麟台学士微云句 麟笔严于首恶书 麟阁峥嵘谁可见 麟合功名身外事 麟台先进御前书 麟组已联方面重 麟殿阻趋陪内宴 麟德殿光充六合 麟凤出时山总秀
麤	麤能扶杖即登临 麤毡布被早霜天 麤知道义死无憾 麤缯大布裹生涯 麤识诗中造化权 麤知春在赖莺声
麽	麽去花光与补之
麾	麾下人人可即戎 麾下偏裨尽拜侯 麾麈一扫尘凡空 麾斥众楚昌齐语 麾旗风紧马蹄劳 麾下偏裨万户侯 麾去奚堪作省郎 麾蛟龙使梁津兮 麾节东南会一堂
麩	麩金一掬枝头小
麰	麰麦正香田舍乐 麰麦明年应解好
麯	麯车入梦正班班 麯春何日寄云安 麯生逢之三距跃
麴	麴尘先已上烟条 麴生应恨白头新 麴麈蘸岸波初涨 麴尘柳色正遮门 麴米春香虽可醉 麴生久送绝交书 麴生作态年来甚 麴尘微涨催兰棹 麴生风味那忘得 麴车那解口流涎
麵	麵生醉嚼玉五壳
鳥	鳥啼猿啸總知音
鳩	鳩摩枉译此经来
鳳	鳳竹鸾丝殊未阑
鴃	鴃啼众草自无芳 鴃舌呗诵淫比屋
鴈	鴈惊泝波羣相将 鴈荡高高路莫通 鴈声寒死叫不歇 鴈来不得中原信 鴈入寒云惊晓角 鴈门早鸿离离度 鴈落芦汀八字横 鴈荡之山天下无 鴈进松间得句无 鴈穿银色界中去
鴆	鴆鸟飞空草不生 鴆酒不消吃一盏
鳷	鳷鹊余寒通北极 鳷鹊楼高晚雪融 鳷鹊楼空冷银烛 鳷鹊峭耸鸳鸯铺 鳷鹊楼前放胡马 鳷鹊雪残笼霁景 鳷鹊观前明月度 鳷鹊楼高天似水 鳷鹊楼前云半卷
鴒	鴒原更遇蓬瀛客 鴒原未用忧急难 鴒飞原上正相应 鴒原眷眷急难义 鴒原骞翥在鳌头 鴒原友悌同三益 鴒原曾冠仙鳌顶 鴒原暮下沙水暖 鴒原任说朝贤贵 鴒飞鹊喜情何限
鴟	鴟夷若是真高士
鴥	鴥彼鸿冥杳莫攀 鴥[1]彼晨风
鴐	鴐鹅酒血来连连 鴐鹅羽冷畏远飞 鴐鹅背日与风翔
鴬	鴬斯空复贼粮食
鵁	鵁鶄波暖飏纹漪 鵁鶄属鳿不惊起 鵁鶄抱颈唼兰叶 鵁鶄属玉满晴莎 鵁鶄鸂鶒争浮沉 鵁鶄鸂鶒沙际眠 鵁鶄属玉乱横斜 鵁鶄飞起郡城东 鵁鶄鸂鶒银塘静 鵁鶄浪起蒲茸暖
鵕	鵕鸃只解戎冠着
鵩	鵩鸟赋成知性命 鵩鸟巢南更数千 鵩鸟赋成人已没 鵩鸟飞鸣告其故 鵩鸟护巢当昼啼 鵩上承尘才一日 鵩赋人非宅已荒 鵩来集舍覗人稀 鵩鸟闲飞露里天 鵩鸟飞来庚子直
鵾	鵾瑟悲多有剩弦
鶂	鶂退暂知淹凤藻
鵰	鵰鹗乘时击迅风 鵰衔宝带鹄袍鲜 鵰鹗联翻二十名 鵰鹗风前跧冻鹰 鵰鹗狰狞搦狐兔 鵰飞鸷举丰篇诗 鵰丘新晴暖已动 鵰鹗盘空雪满围 鵰堂从昔有恶客 鵰鹗途程在碧天
鵷	鵷鹭分行江上别 鵷行佐幕异常伦 鵷鸿自有江湖乐 鵷鹭羽仪从北阙 鵷雏先集凤凰枝 鵷班新谒紫宸回 鵷鸾羽翼困州县 鵷雏凋落泪频潸 鵷鹭分行皆接武 鵷鶵览辉下其庭
鶗	鶗鴃一声寒食雨 鶗鴂声中双阙雨 鶗鴂一声春事了 鶗鴂两山相对鸣 鶗鴃鸣时春事空 鶗鴂一声花雨落 鶗鴂鸣时始息肩 鶗鴂鸣时芳草死 鶗鴂声中寒食雨 鶗鴂声残无觅处
鶖	鶖子从谈玉版禅 鶖子怕沾天女花
鶢	鶢鶋何事享箫韶
鶺	鶺鴒原上巧相违 鶺鴒双去集上林 鶺鴒飞急到沙头 鶺鴒原上欢声沸 鶺鴒原上共陶钧 鶺鴒随处共飞鸣
